TimeWindow  Iteration  ResRel(Displacements)  ResRel(Forces)  
    27       5   1.46444629e-05   9.10719268e+00  
    27       6   5.39073749e-06   4.88159412e+00  
    27       7   6.46634786e-06   1.42530749e+00  
    27       8   2.95634639e-06   1.87596359e+00  
    27       9   3.36705360e-06   2.12226527e-01  
    27      10   2.20753109e-06   1.06389201e-01  
    27      11   3.39997053e-07   1.01031116e-01  
    27      12   3.19250507e-07   3.60432851e-02  
    27      13   1.63157334e-07   3.30806910e-03  
    28       1   5.13719170e-02   1.29341133e-01  
    28       2   1.69324197e-04   3.76703318e+00  
    28       3   9.16728538e-05   2.25888243e+00  
    28       4   1.19292809e-04   9.18276925e+00  
    28       5   1.44340350e-05   2.19378345e+00  
    28       6   9.08529124e-06   3.77163902e+00  
    28       7   1.12352523e-05   1.22725697e+00  
    28       8   4.11124076e-06   2.48059731e-01  
    28       9   2.86651353e-06   1.59126723e-01  
    28      10   2.08028089e-06   9.44800958e-01  
    28      11   7.88132714e-07   5.60045927e-01  
    28      12   4.17205712e-07   3.51105490e-01  
    28      13   3.91771312e-07   3.62805167e-01  
    28      14   7.80575940e-08   1.06628403e-01  
    28      15   1.02413891e-07   5.23386874e-02  
    28      16   4.27041081e-08   1.05881236e-02  
    28      17   2.59876270e-09   4.90555063e-03  
    29       1   5.04975359e-02   1.18431586e-01  
    29       2   1.70432020e-04   3.00101009e+00  
    29       3   1.69091056e-04   7.76324057e+00  
    29       4   8.16243476e-05   1.16066238e+00  
    29       5   5.45011776e-05   1.92061241e+00  
    29       6   1.60398346e-05   1.74637704e+01  
    29       7   2.07072213e-05   2.16288709e+01  
    29       8   1.71500186e-05   1.47501276e+01  
    29       9   1.21872279e-05   3.80874843e-01  
    29      10   1.94847625e-06   1.25398798e+00  
    29      11   8.73491534e-07   6.36008513e-01  
    29      12   1.08585611e-06   8.85332254e-01  
    29      13   7.39557305e-07   3.62839130e-01  
    29      14   7.71979765e-07   5.30041164e-01  
    29      15   1.12837369e-07   6.80457131e-03  
    30       1   4.97669430e-02   8.41885740e-02  
    30       2   1.02984781e-04   1.36851612e+00  
    30       3   1.34136447e-04   2.59820566e+01  
    30       4   2.70615976e-05   3.15380141e+00  
    30       5   3.56312595e-05   7.35727143e+00  
    30       6   6.61208877e-05   9.48541999e+00  
    30       7   2.66432544e-05   3.61778928e+00  
    30       8   1.43270823e-05   4.47137837e+00  
    30       9   5.97257916e-06   5.51707866e+00  
    30      10   1.48804731e-06   4.57898410e-01  
    30      11   4.73265426e-07   5.21330812e-02  
    30      12   1.25871826e-06   7.80037135e-01  
    30      13   8.82118900e-07   5.05002112e-02  
    30      14   3.16767671e-07   1.58678564e-01  
    30      15   2.19524988e-07   1.31639709e-02  
    30      16   5.84756195e-08   2.76530794e-02  
    30      17   3.94161920e-09   1.44668190e-02  
    30      18   6.53684501e-09   2.21579641e-03  
    31       1   5.01521388e-02   2.30668907e-01  
    31       2   3.89968858e-04   1.50415577e+01  
    31       3   1.18597425e-04   1.81009631e+00  
    31       4   4.78825107e-05   9.44121415e-01  
    31       5   2.66043385e-05   5.30754286e+00  
    31       6   5.72023462e-06   1.73115986e+00  
    31       7   5.29387215e-06   5.19348712e-01  
    31       8   1.30395828e-06   7.40381307e-02  
    31       9   1.55093797e-06   3.20782535e-01  
    31      10   1.77339221e-07   2.33464727e-02  
    31      11   4.66932902e-08   1.10157709e-02  
    31      12   7.24732249e-08   9.52218050e-03  
    32       1   5.20861681e-02   3.42070877e-01  
    32       2   6.46099627e-04   3.83388314e+01  
    32       3   2.72710457e-04   6.46331469e+00  
    32       4   1.58511313e-04   7.29954053e-01  
    32       5   3.54018217e-05   7.05787981e+00  
    32       6   1.75936961e-05   6.75117017e+00  
    32       7   5.12373140e-05   1.06697138e+01  
    32       8   6.12965408e-06   8.02806975e-01  
    32       9   3.79387047e-06   2.22655547e+00  
    32      10   9.14148482e-07   5.99113508e-01  
    32      11   1.42123899e-06   8.07840489e-01  
    32      12   3.81899092e-07   3.33099427e-01  
    32      13   8.35318345e-08   9.72829670e-02  
    32      14   2.69630439e-08   4.28192937e-02  
    32      15   4.07686756e-09   2.34335525e-02  
    32      16   2.88537864e-09   1.67351286e-02  
    32      17   1.39225543e-09   3.96468369e-03  
    33       1   5.43388253e-02   3.15984967e-01  
    33       2   3.59200743e-04   1.60064323e+01  
    33       3   1.20030361e-04   3.36139145e+01  
    33       4   2.47515170e-04   1.18823622e+00  
    33       5   7.29864241e-05   5.43533414e+00  
    33       6   3.18091061e-05   7.70816264e+00  
    33       7   1.77224517e-05   4.98659006e+00  
    33       8   8.23995144e-06   8.83379472e-01  
    33       9   2.96884317e-06   5.51100043e-01  
    33      10   3.97162363e-06   4.63580345e-01  
    33      11   9.50447723e-07   4.27757650e-01  
    33      12   1.12409299e-07   1.52847565e-01  
    33      13   8.59739035e-08   1.50529960e-01  
    33      14   2.21677206e-07   1.59451146e-01  
    33      15   2.21294117e-08   2.19317184e-02  
    33      16   3.98017640e-09   1.68293571e-02  
    33      17   3.89849896e-09   1.17780952e-02  
    33      18   1.24729353e-09   2.97648459e-03  
    34       1   5.52433106e-02   3.42107097e-01  
    34       2   2.12919093e-04   2.22815993e+00  
    34       3   8.55375924e-04   9.92908662e+00  
    34       4   7.47326317e-04   2.01208173e+02  
    34       5   1.62585336e-04   1.33173773e+01  
    34       6   2.16415042e-04   4.35270759e+00  
    34       7   1.26132255e-04   2.58720092e-01  
    34       8   7.16548156e-05   8.18683417e+00  
    34       9   6.02041062e-05   1.30133471e+01  
    34      10   3.14052417e-05   3.73291560e+00  
    34      11   3.29754726e-06   4.19000084e+00  
    34      12   4.42615524e-06   7.93367358e-01  
    34      13   3.03113039e-06   6.40667905e+00  
    34      14   1.79970943e-06   4.12007170e+00  
    34      15   2.49846310e-06   3.08843299e+00  
    34      16   3.94036614e-06   2.93368214e+00  
    34      17   3.43141897e-06   1.17142227e+00  
    34      18   3.59412068e-06   1.51589329e+00  
    34      19   4.15851595e-06   2.03473676e+00  
    34      20   2.47571680e-06   2.76284200e+00  
    34      21   5.08605006e-06   1.15901482e+00  
    34      22   3.62581952e-06   1.63109286e+00  
    34      23   9.14123858e-07   1.99551481e-01  
    34      24   7.60525903e-07   1.38563152e-01  
    34      25   2.63519554e-07   3.76650135e-02  
    34      26   5.33955688e-08   1.53452381e-02  
    34      27   1.81885652e-08   6.67402483e-04  
    35       1   5.47651001e-02   2.57469113e-01  
    35       2   2.70480720e-04   3.69844323e+00  
    35       3   2.91094441e-04   4.00057690e+01  
    35       4   1.92406637e-04   3.63720013e+01  
    35       5   4.94742921e-05   4.64372908e+00  
    35       6   2.15325239e-05   9.15569182e+00  
    35       7   3.39406736e-05   1.23312851e+01  
    35       8   4.38632100e-05   3.20599402e+00  
    35       9   2.03134797e-06   1.29296995e+00  
    35      10   2.97797640e-06   4.25725421e-01  
    35      11   2.36756098e-06   4.52240941e-01  
    35      12   9.59293548e-08   5.85732867e-02  
    35      13   1.32721061e-07   9.24446994e-02  
    35      14   8.23955277e-08   1.83373073e-02  
    35      15   8.01399961e-08   1.38285658e-01  
    35      16   1.89031269e-07   4.34122405e-02  
    35      17   1.68775881e-07   6.42729849e-03  
    36       1   5.35580730e-02   1.48258965e-01  
    36       2   3.80167090e-04   3.64065797e+00  
    36       3   7.75507698e-05   2.17434439e+01  
    36       4   7.89913606e-05   3.28673994e+00  
    36       5   6.00159368e-05   1.33893214e+01  
    36       6   1.07074385e-04   1.13754911e+00  
    36       7   2.13537339e-05   2.52140581e+01  
    36       8   9.69283039e-06   3.43184891e+00  
    36       9   1.27903796e-05   5.38180431e+00  
    36      10   9.15626640e-06   2.60928553e+00  
    36      11   6.28735306e-07   1.17958703e-01  
    36      12   2.58400204e-07   3.61181023e-02  
    36      13   3.57614786e-07   5.29696251e-02  
    36      14   7.79897464e-08   6.69487863e-02  
    36      15   5.73346367e-09   2.55783220e-02  
    36      16   2.31916539e-09   9.95060176e-04  
    37       1   5.13163468e-02   4.17134309e-01  
    37       2   1.11070696e-04   3.26690530e+00  
    37       3   1.71847784e-04   4.26850922e+00  
    37       4   8.67529622e-05   7.59802509e+00  
    37       5   6.46560439e-05   1.45937419e+02  
    37       6   4.29046443e-05   3.27414420e+00  
    37       7   1.57043414e-05   7.42632702e+00  
